Company_Name,Rating,Job_Title,Location,Salary_Estimate,Description,Revenue,Industry,Founded,Type,Size,Sector
"Vetro Tech Inc
3.9",3.9,Data Scientist,"Philadelphia, PA",Employer Provided Salary:$83K - $99K ,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams

Skills

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred

Job Type: Full-time

Salary: $83,000.00 - $99,000.00 per year

Schedule:

Monday to Friday

Work Location: Remote

Speak with the employer
+91 6149150409

Show More 
Report",,"Sector
Human Resources & Staffing","Type
Company - Public","Industry
Staffing & Subcontracting","Size
Unknown","Revenue
Unknown / Non-Applicable"
"Stax
3.5",3.5,Data Scientist,Remote,,"The Data Scientist will use their strategic and analytical skills to drive projects with major customer and business impact. You will act as the primary data driven Risk force of change to drive faster and more profitable risk decisions. You will slice and dice data to find insights, form data driven hypotheses and implement changes that have immediate and direct customer and business impact.

Key Responsibilities & Objectives

Use modeling and analytical prowess to understand and communicate how business and risk policies and processes are impacting our bottom line.
Build data science intelligence and help automate risk decisions based on regression and machine learning models
Conduct statistical analysis to identify trends, variations, patterns and insights relating to the risk performance of accounts
Set up your own problem frameworks and develop hypothesis to test for optimal outcomes. This will include scoping the operational feasibility, product and vendor impact, lead cross functional implementation effort, and monitor the success of your solutions.
Work with internal and external data to build comprehensive customer risk profiles
Evaluate risk operational processes to determine opportunities for efficiencies
Provides reports on a regular basis, and as directed or requested, to keep senior management informed
Other analytical and data driven duties as needed

Preferred Qualifications

Bachelor's degree or higher in a quantitative field (Statistics, Math, Science, Engineering, Business, Economics, Finance)
4+ years of experience in related field
Experience in data extraction, analysis, SQL, R, Python, Tableau, Splunk all a plus
Ability to work under pressure in fast-paced environment
Great communication and data driven storytelling skills
Strong attention to detail
Solution-Oriented with appetite to test and learn quickly
Show More 
Report","Revenue
$1 to $5 billion (USD)","Industry
Financial Transaction Processing","Founded
2014","Type
Company - Private","Size
201 to 500 Employees","Sector
Financial Services"
"Plaxonic
4.6",4.6,AML Data Scientist,Remote,Employer Provided Salary:$125K - $130K ,"At least 5 years of experience in Data Scientist.
Working knowledge of modelling, loading, optimizing large amounts of data into druid to be queried
by a low latency web applications via API.
Prior working experience in building data pipelines using Spark, Hive, Python, Airflow or similar
technologies.
Prior working experience in Optimizing performance of data pipelines jobs.
Working knowledge of data modelling, data processing infrastructure, including databases, data
lakes, and data warehouses.
Quick learner, self-starter, being able to operate with little to no guidance.
Good communication skills and being productive in a fast-paced development environment.

Job Type: Full-time

Salary: $125,000.00 - $130,000.00 per year

Schedule:

8 hour shift

Experience:

Anti-money laundering: 5 years (Preferred)
Python: 5 years (Preferred)
Spark: 5 years (Preferred)

Work Location: Remote

Speak with the employer
+91 727.758.5913

Show More 
Report","Revenue
$1 to $5 million (USD)","Industry
Information Technology Support Services","Founded
2013","Type
Company - Private","Size
51 to 200 Employees","Sector
Information Technology"
"CAVEON, LLC
4.7",4.7,Data Forensics Scientist,Remote,Employer Provided Salary:$50K - $80K ,"The Caveon data forensics team analyzes millions of test sessions a year for a variety of clients, including medical boards, tech companies, state departments of education, and others. Processing a variety of data using an automated, proprietary system provides a unique set of challenges, as does providing customized analysis solutions for every client. We are a small team, but consistently achieve big goals. We are constantly striving to improve our capabilities and better support our clients. If you have a growth mindset and you enjoy developing creative solutions, you may be a great fit for our team!

Knowledge / Skills / Ability:

Strong statistical, mathematical, and data analysis skills including linear algebra, calculus, probability, linear models, combinatorics, psychometrics, and data visualization
Experienced in research design, conducting research projects, and technical writing
Good at communicating statistical methods and findings to a variety of remote and in-person audiences
Curious and highly motivated to identify, investigate, and understand data anomalies
Microsoft Excel, Word, PowerPoint, and Outlook skills required
Meticulous attention to detail and documentation
Ability to work collaboratively as a team player and independently
Programming skills required; Python or C preferred



General Summary of Responsibility:

The primary functions of a Data Forensics Scientist are to interpret data forensics results, prioritize results in terms of risk to test security, and communicate statistical information to clients verbally and through written summary reports.
Secondary functions include assisting in conducting research on statistical methods to detect potential test fraud and documenting statistical methods and analysis procedures.

Preferred Education and Experience:

Masters in Statistics, Mathematics, or other quantitative field required

Show More 
Report","Revenue
Unknown / Non-Applicable","Industry
Computer Hardware Development","Founded
2003","Type
Company - Private","Size
51 to 200 Employees","Sector
Information Technology"
"Stitch Fix
3.2",3.2,Staff Data Scientist,Remote,Employer Provided Salary:$245K - $262K ,"We’re a team of bright, kind individuals who are motivated by challenge and who care deeply about achieving great things. We know our individual strengths, but believe we only win as a team. We’re transforming the way people find what they love - and we need your big ideas. We just might be the perfect fit.

ABOUT THE TEAM
At Stitch Fix, our data science team combines machine learning with expert human judgment to generate innovative recommendations and insights that transform the way our clients discover what they love. We believe in a curiosity-driven data science culture where members are empowered to deliver impact through end-to-end model development. The diversity of the problems that we work on and the data-rich environment of our business make it possible, even essential, to bring the tools of multiple disciplines to bear on our hardest problems. As a large company, our growing business is looking for data scientists to join us in revolutionizing retail.
ABOUT THE ROLE
This role is for the Growth Algorithms team. We focus on optimizing the experience of prospective and new clients as well as reengaging our existing clients. This role is focused on existing client re-engagement and we are looking for a thought leader to consolidate our existing efforts in this space and work closely with cross functional partners to expand. This role will have a large scope across traditional marketing channels (Email, Facebook, etc.) as well as integrations with the Stitch Fix core product (e.g., Homefeed). The Growth Algorithms team generates personalized content tailored to client preference, and selects targeted tactics to drive client engagement. Cross-functional collaboration is deeply meaningful to us and is how we’ve built up immense trust with our partners in Marketing, Product, Strategy, and Engineering. You'll have the opportunity to bring your ideas to life by building on a foundation of strong business support, clear vision, engaged internal users, and bright, kind teammates.
YOU'RE EXCITED ABOUT THIS OPPORTUNITY BECAUSE YOU WILL…
Have access to a wealth of unique data and best-in-class algorithms, providing a solid foundation to build on
Own full life-cycle model creation and deployment
Be a data steward, ensuring that our raw inputs, intermediate results, and finished data products are accessible and useful in perpetuity
Holistically understand ambiguous business problems and frame appropriate work streams
Act as a thought leader for the team – identify, research, advise, and implement approaches to new and old problems
Be empowered to take initiative and follow your innate curiosity
WE’RE EXCITED ABOUT YOU BECAUSE…
Have 3+ years of experience working with cross-functional partners to develop and push forward strategies that impact multiple projects.
Have 6+ years of applied data science experience, e.g. not just fitting a model but being held accountable for creating business value.
Have an expertise in Math, Operations Research, Physics, Statistics, Biostatistics, Economics, Finance, Computer Science, or another quantitative field.
Have strong software engineering and design skills and can work within a shared (Python) code base.
Have experience applying data analysis, machine learning, or statistical modeling to real world applications.
Like a good challenge and are driven to make a tangible business impact.
WHY YOU'LL LOVE WORKING AT STITCH FIX...
We are a group of bright, kind people who are motivated by challenge. We value integrity, innovation and trust. You’ll bring these characteristics to life in everything you do at Stitch Fix.
We cultivate a community of diverse perspectives— all voices are heard and valued.
We are an innovative company and leverage our strengths in fashion and tech to disrupt the future of retail.
We win as a team, commit to our work, and celebrate grit together because we value strong relationships.
We boldly create the future while keeping equity and sustainability at the center of all that we do.
We are the owners of our work and are energized by solving problems through a growth mindset lens. We think broadly and creatively through every situation to create meaningful impact.
We offer comprehensive compensation packages and inclusive health and wellness benefits.
ABOUT STITCH FIX
We're changing the industry and bringing personal styling to every body. We believe in a service and a workplace where you can show up as your best, most authentic self. The Stitch Fix experience is not merely curated—it’s truly personalized to each client we style. We are changing the way people find what they love. We’re disrupting the future of retail with the precision of data science by combining it with human instinct to find pieces that fit our client’s unique style. This novel juxtaposition attracts a highly diverse group of talented people who are both thinkers and doers. This results in a simple, yet powerful offering to our customers and a successful, growing business serving millions of men, women and kids throughout the US and UK. We believe we are only scratching the surface and are looking for incredible people like you to help us boldly create our future.
COMPENSATION AND BENEFITS

Our anticipated compensation reflects the cost of labor across several US geographic markets, and the range below indicates the low end of the lowest-compensated market to the high end of the highest-compensated market. This position is eligible for new hire and ongoing grants of restricted stock units depending on employee and company performance. In addition, the position is eligible for medical, dental, vision, and other benefits. Applicants should apply via our internal or external careers site.

Salary Range

$245,000—$262,000 USD
This link leads to the machine readable files that are made available in response to the federal Transparency in Coverage Rule and includes negotiated service rates and out-of-network allowed amounts between health plans and healthcare providers. The machine-readable files are formatted to allow researchers, regulators, and application developers to more easily access and analyze data.
Please review Stitch Fix's US Applicant Privacy Policy and Notice at Collection here: https://stitchfix.com/careers/workforce-applicant-privacy-policy

To apply to this job, click Apply Now

Show More 
Report","Revenue
$1 to $5 billion (USD)","Industry
Other Retail Stores","Founded
2011","Type
Company - Public","Size
10000+ Employees","Sector
Retail & Wholesale"
"Transfix
4.2",4.2,Data Scientist (Remote),"New York, NY",Employer Provided Salary:$89K - $151K ,"About Transfix:

Transfix, named to Forbes' ""Next Billion-Dollar Startups"" list, is the leading transportation solutions provider whose digital brokerage marketplace and logistics software offerings are helping transform the $800 billion trucking industry. Since its founding in 2013, Transfix has been driven by a mission to deliver simple, smart, and sustainable solutions for shippers and carriers, powered by people and technology.

Here at Transfix, we are not only building incredible technology to help solve some of the world's biggest, most complex, and most important challenges in the freight and logistics industry; We are also helping protect our environment and are passionate about making the world a better place by increasing sustainability and eliminating the extreme amount of waste that currently exists in our industry.

By combining deep industry expertise and a best in class carrier network with cutting-edge technology, Transfix is reimagining the world of transportation. Transfix works with some of the largest Fortune 500 companies such as Staples, Unilever, Target and Wayfair rely on Transfix to handle their most important FTL freight needs. With instant pricing, algorithmic matching, superior service, and unmatched intelligence, Transfix is optimizing the supply chain from start to finish.

The problems we solve everyday are real and require creativity, grit, and determination. Recognized as one of Built In's Best Places to Work 2021, Transfix is building a culture that challenges norms while fostering experimentation and personal growth. We're hiring team members who are passionate and are energized by the vision to simplify and transform one of the largest and most complex industries through technology, data and a strong commitment to customers.

About the Role:

Transfix is making continued investments in our machine learning function as we continue to grow, and we are seeking a Data Scientist to play a critical role in our growing and evolving Data function. In this highly strategic individual contributor position, you will implement machine learning models into critical business processes, forecast industry trends, and manage our machine learning pipelines.

As Data Scientists at Transfix, we are our own ML Ops. In this role, you'll learn about managing your models from inception to deployment, including monitoring and designing improvements. Python is our production language for modeling and scripting. Our machine learning pipeline heavily involves AWS Sagemaker and other AWS products, Airflow for orchestration, and additional proprietary software to suit our needs.

In this role, you'll utilize your expertise querying databases, writing production Python code, and bridging the gap between business problems and statistical theory to deliver solutions that are integral to the success and scalability of Transfix. The Data Science team has an ambitious roadmap and we're looking for someone to elevate the team by joining our brainstorms, suggesting ways to improve our existing models, and help us blaze a trail into unchartered industry problems.

If you are a strategic individual contributor data scientist who enjoys manipulating data to solve interesting, complex, and critical business problems, and are looking for boundless opportunities to grow your career in a collaborative, fast paced, high growth environment, then this role could be perfect for you… please keep reading!

What You'll Do In this Role:

Act as a key data scientist on our team to drive critical and impactful data science projects, working closely among the Data Science, Analytics, Product, Engineering, and Go-To-Market teams
Build, upgrade, and deploy models related to improving our ability to price effectively in the freight auction marketplace
Support production pipeline maintenance including ETL, training, deployment, and monitoring.
Utilize industry data, internal data, and other key indicators to build forecasting models that predict freight market price changes
Collaborate with and provide analytic and machine learning support for key teams across the organization - including but not limited to Sales, Operations, Product, and Compliance
Discern whether the data we're collecting is sufficient to apply machine learning as a solution
Apply statistical inference techniques to describe dynamic, complex systems
Support the communication and education of our methods to stakeholders by building trust that the solution Data Science is delivering meets the needs of the business
Partner with the larger data team on data-driven analysis, key insights, and reports on KPIs

How You Know this Role is For You:

You have 1+ years of working experience manipulating data sets and building statistical models
You have extensive experience and a proficient fluency with Python and can demonstrate that you have used the prominent numerical and graphical packages in the language
You're excited about being part of a small team and enjoy the parts of the model development process where everyone participates and shares ideas with each other
You are equally comfortable sharing your unique perspective as you are in defending and providing evidence that support your point of view
You have experience querying SQL databases and working with data in business intelligence tools like Tableau or Looker
You've worked with a variety of machine learning techniques such as clustering, dimensionality reduction and decision tree learning
You have experience with advanced statistical techniques such as regression, sampling, simulation, and time series forecasting
You're looking to grow your career in Data Science!
You're intellectually curious, have a bias for action, show humility and pragmatism, are detail oriented and an outstanding communicator

You're A Mile Ahead If (Not Required, but Nice to Have!):

You have a Bachelors, Masters, or other advanced degree in Statistics, Mathematics, Computer Science or another quantitative field, and/or a graduate degree in economics, political science, or other social science with a quantitative focus
Experience with AWS Sagemaker, other AWS products, and Airflow

What You can Expect from Transfix:

This role is part of Transfix's fully-remote Tech organization. Our headquarters is based in New York City, and we are prioritizing candidates who are based in Eastern and Central timezones.
We are offering a market competitive salary of $89,250 to $150,500 per year depending on experience level, scope, and geographic location, which includes base salary as well as Restricted Stock Units (equity) in Transfix.
We offer 100% company paid medical, dental, and vision health benefit premiums. That's $0 out of your paycheck!
We offer 3 months of parental leave, fertility coverage, childcare support, pet insurance, gym reimbursement, unlimited sick days, generous PTO, and have 7 company holidays + 3 floating holidays.
Career growth! We are growing quickly and prioritize developing our teams to meet their full potential and promoting from within.
A commitment to Diversity, Equity, Inclusion, Justice, and Sustainability. Approximately 40% of our executive Leadership team is female, and half of our employee population is BIPOC. We have several incredible Employee Resource Groups (ERGs), such as Pride@, Somos@, ForTheCulture@, AAPI@ and Women@, and are committed to continuously improving diversity, inclusion, equity, and justice every single day.

Note: If you are looking for a salary outside of this range, but this role looks exciting to you, we still encourage you to apply. We are growing quickly here at Transfix and may have other roles that could be aligned for your skillset opening very soon!

#LI-Remote
#LI-SD1

Are you concerned that you don't meet every job requirement? Studies have shown that women are less likely to apply to jobs unless they meet every single qualification, and we know that companies that welcome diversity are 170% more innovative. At Transfix, we are dedicated to building a diverse, inclusive, and equitable workplace, so if you're excited about this role, even if your past experience doesn't align perfectly with every qualification in the job description, we encourage you to apply! You may be more aligned than you think for this role, or a great fit for other roles here.

Transfix is deeply committed to advancing diversity, equity, inclusion, and justice in our hiring, programming, and in our work both internally and externally. We recognize how critical diversity, equity, inclusion, and justice are to achieving our mission, our growth, and our success. In support of this commitment, some of our focuses include (but are not limited to):
Developing policies, procedures, and services to our employees, carriers, and shippers that uplift and protect to prevent inequalities
Building relationships among our employees, customers, and supporters that are reflective of our community
Prioritizing the inclusion of diverse communities and underrepresented groups in internal leadership
Fostering a culture of compassion, empathy, open-mindedness, compassion, and inclusivity
Creating and maintaining opportunities for continuous education, discourse, and engagement related to issues of equity, diversity, inclusion, and social justice
Transfix is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Transfix are based on business needs, job requirements, and individual qualifications, and are made without regard to race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or related condition (including breastfeeding), or any other basis protected by law. It is Transfix's policy to comply with all applicable national, state and local laws pertaining to nondiscrimination and equal opportunity. Transfix does not and will not tolerate discrimination or harassment based on any of these characteristics. Transfix encourages applicants of all ages.

To all recruitment agencies: Transfix does not accept unsolicited agency resumes and will not be held responsible for any fees related to unsolicited resumes.Show More  Report","Revenue
Unknown / Non-Applicable","Industry
Shipping & Trucking","Founded
2013","Type
Company - Private","Size
201 to 500 Employees","Sector
Transportation & Logistics"
HomeAware,,Data Scientist,Remote,Employer Provided Salary:$90K - $110K ,"Engineering

Data Team

Summary

Ubiety Technologies, Inc is dedicated to developing innovative device detection and Radio Frequency signaling products that improve the safety and security of homes, businesses, and communities. We offer a fast-paced, highly collaborative startup environment where you will be inventing and developing transformative products to improve the lives of our customers. You will be working alongside extremely talented engineers and creative designers from inception through delivery of a revolutionary product.

We’re looking for a data scientist to join Ubiety’s growing Data Team. Our small but mighty team is responsible for all things data including internal reporting/dashboarding, ad-hoc analyses, core data science R&D on RF detection, and ML model development and deployment. Because our team covers such a wide range of responsibilities, this role is an excellent opportunity to grow as a holistic data scientist developing skills such as data engineering, ML modeling, DevOps, as well as soft-skills.

Some examples of projects this role will tackle include:

Developing ML models to solve various problems such as classifying and counting nearby RF-emitting devices based on captured RF signals and metadata
Leading novel research efforts into cellular RF detection and generating insights based on captured data
Conducting research studies to understand RF data emitted by non-traditional devices (automobiles, drones, wearables, etc)
Fine tuning Cassandra queries or Snowflake access patterns to reduce latency and costs

This role reports to the Director of Data Science and sits within the Data Team. Depending on the project you will have the opportunity to work with colleagues across the Data Team and the wider Engineering org, as well as independently. You will have a lot of opportunities to take ownership and deliver on your work!

In addition to a competitive base salary, this position is also eligible for equity awards based on factors such as experience and performance. We believe strongly that if you contribute to adding to Ubiety’s value, you should share in that value.

Standard Salary Range: $90k - $110k annually plus equity

What you'll need
MS Degree in Analytics, DS, or similar OR BS Degree in Analytics, Statistics, or similar with 1-2 years of relevant experience
Strong programming experience with Python Data Science toolkit (pandas, numpy, scipy, scikit-learn, keras/pytorch, h2o)
Extensive experience pulling data from both SQL and NoSQL databases (e.g. Snowflake, Postgres, Cassandra, Redis)
Experience with basic Software Engineering concepts such as modularity and unit testing to facilitate moving code out of Jupyter notebooks and into our backend system
Experience developing Machine Learning models for both classification and regression problems utilizing a variety of algorithms and approaches
Experience developing visualizations and presentations to communicate results to non-technical audiences
Familiarity with basic AWS services
Experience with Git and contributing to projects with other developers
English language proficiency
What you'll be doing
Lead efforts to research and document the raw signaling data we are collecting
Ideate, formulate, and execute various research agendas
This includes everything from defining the problem, identifying relevant data sources, data collection/aggregation, and analysis
Create frameworks for various supervised and unsupervised ML problems
Actively contribute to the development of our core analytical engine to produce valuable insights to users from raw RF signal data
Write, audit, and improve our test coverage across our deployed ML products
Clearly communicate findings to key technical stakeholders
Drive a data driven culture across the entire company

Note: These responsibilities are just a starting place! We’re a small company, we don’t have rigid roles, and we have a lot to do - we can help you grow wherever your interests take you.

Show More 
Report",,,,,,
"Vibrant Emotional Health
2.4",2.4,Data Scientist I,Remote,,"Position Title: Data Scientist I
Department: IT
Reports to: Sr Data Scientist
Location: Remote
Schedule: 35 hours weekly
Salary Grade: $62k-98k
Position Overview
As a Data Scientist I, you will be responsible for working with supervision on coding and testing tools and assets to deliver high quality analytics.
Data Scientist help us maintain and improve our analytics priorities. You will help to support and clarify the organization’s reporting and analytics focuses by exploring data sets for patterns of interest, and contributing to the organization’s evolving data help desk infrastructure needs as they emerge. You will leverage R,Python and/or SQL for EDA, publish tools and findings in RStudio Connect and Tableau, and use CRM and task/project management tools such as Salesforce, Jira and Asana to track progress.


Duties & Responsibilities
Collaborate as a team to identify, assess, and solve business problems
Create quantitative models and identify patterns in data
Create data visualization dashboards to present findings
Maintain and monitor existing data help desk requests to ensure reliability of reports and make recommendations for improvements and enhancements
Use pre-existing tools to discern common concerns from novel road blocks, and communicate or escalate cases to relevant teams
Recognize and adopt best practices in: data privacy, quality communication, and documentation
Qualifications
Hands-on experience with programming languages, such as R, Python or SQL
Comfort translating business requirements into thoughtful research questions
Strong ability to recognize patterns and keen attention to detail
Demonstrated willingness and ability to engage with teams and collectively solve complex problems
Preferred
1-2 years work experience in an analytical role
Bachelor’s degree in Computational Modeling and Data Analytics, Advanced Analytics, Statistics, Business Analytics or a related discipline
Knowledge of and/or interest in using statistical modeling to solve complex problems
Comfort making decisions in a fast-paced environment


Studies have shown that women and people of color are less likely to apply for jobs unless they believe they are able to perform every task in the job description. We are most interested in finding the best candidate for the job, and that candidate may be one who comes from a less traditional background. Vibrant will consider any equivalent combination of knowledge, skills, education and experience to meet minimum qualifications. If you are interested in applying, we encourage you to think broadly about your background and skill set for the role.
Vibrant Emotional Health is an equal opportunity employer. Applicants are considered for positions without regard to veteran status, uniformed service member status, race, creed, color, religion, gender, gender identity, sex, sexual orientation, citizenship status, national origin, marital status, age, physical or mental disability, genetic information, caregiver status or any other category protected by applicable federal, state or local laws.
Show More 
Report",,"Sector
Nonprofit & NGO","Type
Nonprofit Organization","Industry
Civic & Social Services","Size
201 to 500 Employees","Revenue
$5 to $25 million (USD)"
Redvest App,,Data Scientist,Remote,Employer Provided Salary:$60K - $140K ,"iOS: https://apps.apple.com/us/app/id1551871735

Android: https://play.google.com/store/apps/details?id=com.redko.redvest

Downloading the app first will help your application process tremendously!

Get to work with the one of the top 30 ranking Finance Apps on the App Store, Redvest. Learn to produce a mobile app from start to finish! Redvest is stock market simulator that reproduces behavior and features of the stock market, so that our users can practice trading crypto currencies and stocks with 0 financial risk. Our users get $ 100,000 free paper money for their gamified stock market learning experience. We are looking for a team member that is passionate about or wants to learn the stock market and finance. You might also get an opportunity to work on different web based and mobile projects.

We are seeking a skilled Data Scientist to join our mobile app development team. The ideal candidate will be responsible for developing and implementing data-driven solutions to improve our mobile app's performance and user experience. You will be working closely with product managers, engineers, and designers to identify areas for improvement and optimization.

Responsibilities:

Analyze user behavior and data to identify areas of improvement and optimization for our mobile app.
Develop and maintain data models and algorithms to improve app performance and user experience.
Collaborate with cross-functional teams to identify and prioritize data-driven solutions.
Develop and implement data-driven A/B tests to measure the impact of new features and changes.
Analyze and interpret data to provide actionable insights to the product and engineering teams.
Create and maintain dashboards and reports to track key performance indicators (KPIs).
Stay up-to-date with emerging trends and technologies in mobile app development and data analysis.

Skills:

Strong knowledge of data analysis and statistics.
Experience with data modeling, machine learning, and statistical analysis.
Proficiency in Python, R, SQL, and other relevant programming languages.
Experience with data visualization tools such as Tableau or PowerBI.
Familiarity with mobile app development frameworks such as React Native or Flutter.
Excellent communication and collaboration skills.
Strong problem-solving skills and attention to detail.
Ability to work in a fast-paced, dynamic environment.

Job Types: Full-time, Part-time, Contract

Pay: $60,000.00 - $140,000.00 per year

Benefits:

401(k)
Dental insurance
Flexible schedule
Health insurance
Paid time off
Vision insurance

Schedule:

Monday to Friday

Application Question(s):

Did you download and familiarize our app? List 1-2 metrics you can analyze.

iOS: https://apps.apple.com/us/app/id1551871735

Android: https://play.google.com/store/apps/details?id=com.redko.redvest

Work Location: Remote

Show More 
Report",,,,,,
"Medicx Health
3.4",3.4,Data Scientist,Remote,Employer Provided Salary:$105K - $125K ,"Medicx Health is seeking a remote Data Scientist!

We offer a full, competitive benefit package that includes:

Health Insurance: PPO and HSA Medical plans, along with Dental and Vision insurance that is 100% employer-paid employee coverage; employer match for HSA plan

Short-Term Disability Insurance: 100% employer paid

Long-Term Disability Insurance: 100% employer paid

Life and AD&D Insurance: 100% employer paid

Flex Spending Account (FSA)

401k Planwith immediate match up to 4%

Remote Work

PTO: 15 days

Paid Holidays: 11 paid Holidays, 2 Personal days and your Birthday off!

Employee Engagement Events/Team Lunches

Pay: $105,000-$125,000/year

Are you passionate about the power of data to connect brands to the consumers who need them the most? Does working on a team of high-energy, collaborative, and strategic thinkers who strive to improve health outcomes sound exciting to you? If so, consider Medicx Health, a smaller, nimble company in the healthcare analytics space. We provide a full suite of data products, analytics (both SaaS based and custom), and omnichannel addressable media solutions to health and pharmaceutical companies in the U.S.

Please read the information below and submit your resume!

What will I be doing?

The person selected for this role will join the Medicx consulting and analytics team. We support our clients by enhancing omni-channel engagement with consumers and health care providers. Our team utilizes de-identified consumer and healthcare data, cutting edge, cookie-less identity resolution technology, and the latest data science/analytic techniques to improve our client’s commercial results, make better business decisions, and uncover new insights about their advertising investments.

The individual in this role will be a key contributor to the team responsible for omni-channel analytics supporting the growing roadmap of analytic capabilities and products. This individual is skilled in designing and conducting analytics to profile and segment customers (consumer/patient and HCP), build target audiences, as well as measure and optimize integrated customer engagement across channels.

The essential functions of this job include, but are not limited to the following:

· Provide analytic support for the development of measurement and optimization products for our pharmaceutical, agency, and media partner clients.

· Build advanced analytics and machine learning models from internal and external data sources to inform campaign decision making and optimize marketing tactics.

· Collaborate with internal and client teams to support models which support strategic and tactical investment recommendations for our clients.

· Collaborate with internal and external partners to deliver digital analytics dashboards and other insights to our clients.

· Execute core analytic project with limited supervision.

· Create and conduct presentations and read outs in collaboration with project principals and engagement leaders.

· Design test-and-learn strategies for A/B, test-vs- control, and multivariate/statistical tests across digital/CRM channels to identify causal impact and iteratively improve performance through key learnings including cross channel and multi-touch attribution impact.

· Utilize consumer and physician level data to conduct advanced modeling for customer profiling, driver analyses, customer segmentation, targeting, media lift measurement, and optimization projects.

What skills are we looking for?

· Adept in navigating across sales, analytics, and consulting teams including effective decision making, communication and influencing skills.

· Strong abilities to transform the client business questions into the desired analytical solution.

· Strong ability to arrive at actionable insights by combining data/analytics with healthcare research and business trends and features.

· Attention to detail

· High level of professionalism and integrity (humble, hungry, and people smart)

Required Education and Experience?

· Bachelor’s degree in Biology, Chemistry, Physics, Mathematics

· 3+ years of Data and Analytics experience or3+ years of Marketing Analytics experience

· 2+ years of hands-on experience in SQL

· 3+ years of hands-on experience with Python, Jupyter Notebook

· 2+ years working with healthcare claims or electronic healthcare record (EHR) data

Preferred Education and Experience?

· Quantitative or Healthcare-related advanced degree (MS, PhD) preferred

· 3+ years of Omni-Channel Measurement and Optimization experience preferred

Equal Employment Opportunity

Medicx Health is an equal opportunity employer. The Company maintains policies and practices that are designed to prevent discrimination or harassment against any qualified applicant or employee to the extent prohibited by federal, state, and local laws and regulations. By way of example, discrimination on the basis of race, ethnicity, color, religion, ancestry, national origin, citizenship, sex (including pregnancy, childbirth, or related medical conditions), age, marital status, sexual orientation physical or mental disability, medical condition, genetic information (including test results), status as a Vietnam-era or special disabled veteran, uniform service member status, political affiliation, union membership, gender identity or gender expression, or any other characteristic protected by applicable law is prohibited.

Job Type: Full-time

Pay: $105,000.00 - $125,000.00 per year

Schedule:

Monday to Friday

Education:

Bachelor's (Required)

Experience:

data and analytics: 3 years (Preferred)
Marketing analytics: 3 years (Preferred)
Python: 3 years (Required)
Jupyter Notebook: 3 years (Preferred)
SQL: 2 years (Required)
healthcare claims: 2 years (Preferred)
electronic healthcare records: 2 years (Preferred)

Work Location: Remote

Show More 
Report","Revenue
$25 to $100 million (USD)","Industry
Internet & Web Services","Founded
2007","Type
Company - Private","Size
1 to 50 Employees","Sector
Information Technology"
